incdtno,date,timehr,timemin,ampm,type,state,temp,visiblty,weather,trnspd,tons,loadf1,emptyf1,cause,acctrk,acctrkcl,enghr,cdtrhr,cntycd,visiblty_>1 mile and <=2 miles,visiblty_>1/2 mile and <=1 mile,visiblty_>1/4 mile and <=1/2 mile,weather_clear/pc,weather_crosswinds,weather_fog/smoke,weather_rain,weather_snow/hail,acctrkcl_max spd 10mph or less,acctrkcl_max spd 20-25mph,acctrkcl_max spd 25-40mph,acctrkcl_max spd 40-60mph,acctrkcl_max spd 60mph or more,acctrk_leased another railroad,acctrk_owned by carrier,acctrk_trackage rights only
2022000028,2022-06-22,3,0,AM,Unknown,Washington,75,>1 mile and <=2 miles,Clear/PC,0,898,5,11,Human,Leased Another Railroad,Max spd 10mph or less,3,3,201,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
DGN994722,2022-07-20,6,51,PM,Derailment,Washington,107,>1/2 mile and <=1 mile,Clear/PC,10,7348,40,70,Other,Owned by Carrier,Max spd 20-25mph,8,8,113,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
RD0722115,2022-07-18,1,0,PM,Derailment,Washington,98,>1/4 mile and <=1/2 mile,Clear/PC,3,10998,76,41,Human,Leased Another Railroad,Max spd 10mph or less,5,5,291,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
22090201,2022-09-02,8,25,PM,Derailment,Washington,80,>1/4 mile and <=1/2 mile,Rain,1,6687,42,3,Human,Leased Another Railroad,Max spd 10mph or less,5,5,221,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
0822HO022,2022-08-18,1,0,PM,Hazardous material release,Washington,93,>1/4 mile and <=1/2 mile,Rain,5,31,0,1,Other,Leased Another Railroad,Max spd 10mph or less,3,3,201,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
0822HO038,2022-08-28,10,5,PM,Derailment,Washington,83,>1 mile and <=2 miles,Clear/PC,3,0,0,0,Human,Leased Another Railroad,Max spd 10mph or less,6,3,201,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
RD1222132,2022-12-31,10,40,PM,Derailment,Washington,52,>1 mile and <=2 miles,Clear/PC,2,1760,16,0,Human,Leased Another Railroad,Max spd 10mph or less,8,8,27,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
0822GC017,2022-08-19,10,20,PM,Derailment,Washington,77,>1 mile and <=2 miles,Clear/PC,10,4071,32,19,Human,Leased Another Railroad,Max spd 10mph or less,3,3,469,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
0822HO003,2022-08-02,4,50,PM,Derailment,Washington,99,>1/4 mile and <=1/2 mile,Clear/PC,18,564,4,0,Other,Leased Another Railroad,Max spd 10mph or less,1,3,201,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
0822HO005,2022-08-05,4,0,AM,Derailment,Washington,81,<=1/4 mile,Rain,4,917,0,8,Other,Leased Another Railroad,Max spd 10mph or less,5,3,201,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0822HO008,2022-08-06,12,5,PM,Hazardous material release,Washington,83,>1/4 mile and <=1/2 mile,Rain,0,31,0,1,Other,Leased Another Railroad,Max spd 10mph or less,3,3,201,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
0822HO008,2022-08-06,12,5,PM,Hazardous material release,Washington,83,>1/4 mile and <=1/2 mile,Rain,19,284,1,0,Other,Leased Another Railroad,Max spd 10mph or less,5,3,201,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
0822HO017,2022-08-12,5,1,PM,Derailment,Washington,83,>1/4 mile and <=1/2 mile,Clear/PC,6,2145,0,7,Human,Leased Another Railroad,Max spd 10mph or less,5,3,201,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
0822HO022,2022-08-18,1,0,PM,Hazardous material release,Washington,93,>1/4 mile and <=1/2 mile,Rain,10,7820,0,14,Other,Leased Another Railroad,Max spd 10mph or less,6,3,201,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
220922003,2022-09-22,6,47,PM,Derailment,Washington,90,>1/2 mile and <=1 mile,Clear/PC,18,1716,0,66,Other,Owned by Carrier,Max spd 10-20mph,11,11,53,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1122SX001,2022-11-02,5,15,AM,Hazardous material release,Washington,57,<=1/4 mile,Clear/PC,8,5234,42,15,Human,Leased Another Railroad,Max spd 10mph or less,5,5,29,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
1122SX022,2022-11-17,3,30,PM,Derailment,Washington,59,>1/4 mile and <=1/2 mile,Rain,2,3971,20,60,Other,Leased Another Railroad,Max spd 10mph or less,7,7,29,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
1122TO001,2022-11-02,7,50,AM,Non-train accident,Washington,58,>1/4 mile and <=1/2 mile,Clear/PC,40,9324,118,41,Other,Owned by Carrier,Max spd 25-40mph,2,2,353,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
1122TO016,2022-11-10,2,0,PM,Trespasser,Washington,70,>1/4 mile and <=1/2 mile,Rain,0,0,0,0,Other,Owned by Carrier,Max spd 25-40mph,3,3,141,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
1122TO029,2022-11-27,12,41,AM,Hazardous material release,Washington,53,>1 mile and <=2 miles,Clear/PC,8,2596,3,66,Human,Owned by Carrier,Max spd 40-60mph,2,2,141,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
