incdtno,year,month,day,timehr,timemin,ampm,type,state,temp,visiblty,weather,trnspd,tons,loadf1,emptyf1,cause,acctrk,acctrkcl,enghr,cdtrhr,cntycd
0522GP014,22,5,20,10,31,AM,12,31,51,2,2.0,0,131,1,0,M,2,1,3,3,111
0522GP014,22,5,20,10,31,AM,12,31,51,2,2.0,5,7473,5,1,M,2,1,4,3,111
0522GP021,22,5,26,7,28,AM,1,31,40,1,1.0,50,42042,294,0,T,1,4,4,4,47
0522GP001,22,5,3,4,50,AM,1,31,31,1,2.0,8,4582,105,0,H,2,1,1,1,111
HL0622103,22,6,6,1,9,PM,1,31,80,2,1.0,10,21468,150,0,H,2,1,3,3,109
0522GP002,22,5,6,8,25,AM,1,31,43,2,2.0,5,3175,7,71,M,2,1,4,4,47
TC0822105,22,8,8,10,42,AM,1,31,68,2,2.0,0,0,0,0,E,4,1,3,3,53
TC0822204,22,8,17,11,30,AM,7,31,82,2,1.0,10,16159,113,0,M,1,2,4,4,139
0722GP016,22,7,25,11,25,AM,12,31,68,2,2.0,1,2500,70,35,H,2,1,3,3,111
HL0622120,22,6,30,2,55,PM,1,31,96,2,1.0,23,21064,148,0,T,1,2,2,2,109
0122GP031,22,1,20,1,6,PM,12,31,13,2,2.0,5,2586,0,4,E,2,1,6,3,111
OP011422,22,1,14,3,5,AM,1,31,16,4,1.0,5,16188,109,0,H,3,1,5,5,175
0322GP001,22,3,1,10,30,AM,1,31,51,2,1.0,9,11206,88,44,H,2,1,3,3,111
0322GP001,22,3,1,10,30,AM,1,31,51,2,1.0,0,49,1,0,H,2,1,3,3,111
0322GP001,22,3,1,10,30,AM,1,31,51,2,1.0,0,14823,111,38,H,2,1,3,3,111
0922GP007,22,9,7,6,10,AM,1,31,66,1,1.0,7,1583,3,37,H,2,1,3,3,33
1022GP019,22,10,17,2,0,PM,1,31,54,2,1.0,4,6914,102,3,E,2,2,7,3,111
1022GP021,22,10,21,5,6,PM,1,31,78,2,1.0,4,6384,50,6,S,2,2,3,3,111
1022GP021,22,10,21,5,6,PM,1,31,78,2,1.0,4,1086,2,23,S,2,2,1,3,111
PR0222119,22,2,22,2,30,PM,1,31,0,2,1.0,3,0,0,0,H,2,1,7,3,13
HL0222106,22,2,5,8,21,AM,1,31,46,1,1.0,0,4416,36,3,H,2,1,3,3,109
PR0722202,22,7,6,6,48,AM,7,31,80,1,1.0,0,0,0,0,M,1,4,3,3,35
HL0222106,22,2,5,8,21,AM,1,31,46,1,1.0,5,16203,127,42,H,2,1,3,3,109
HL0222203,22,2,8,11,43,PM,7,31,22,4,1.0,35,18987,134,0,M,1,4,2,2,185
0222GL010,22,2,12,8,35,PM,1,31,34,4,2.0,1,9723,70,11,H,2,1,5,5,79
0222GP014,22,2,16,11,45,AM,1,31,34,2,2.0,4,16556,116,65,E,2,2,3,3,111
0322GP022,22,3,31,10,23,PM,1,31,34,4,2.0,4,1997,8,33,H,2,1,7,3,111
0622GP028,22,6,28,4,0,PM,1,31,96,2,1.0,5,15475,109,0,T,4,1,3,3,47
0622GP015,22,6,15,12,0,PM,12,31,78,2,1.0,0,50,0,1,H,2,1,3,3,111
0622GP015,22,6,15,12,0,PM,12,31,78,2,1.0,10,37,0,1,H,2,1,3,3,111
0822GP021,22,8,28,8,30,AM,1,31,67,2,1.0,45,10599,69,42,E,1,4,9,9,79
0122GP031,22,1,20,1,6,PM,12,31,13,2,2.0,4,201,0,4,E,2,1,3,3,111
HL0322116,22,3,22,1,37,AM,1,31,41,4,3.0,6,0,0,0,H,2,1,7,3,109
PR0622105,22,6,19,2,8,AM,1,31,80,4,1.0,6,0,0,0,H,2,1,9,9,13
0522GP012,22,5,13,12,0,PM,13,31,70,2,1.0,0,94,0,1,M,2,1,3,3,111
1222GP024,22,12,15,12,0,PM,12,31,26,2,2.0,1,32,0,1,M,2,1,3,3,111
1222GP029,22,12,24,2,6,AM,12,31,3,4,1.0,21,209,1,0,S,2,1,3,3,111
1222GP029,22,12,24,2,6,AM,12,31,3,4,1.0,0,15,1,0,S,2,1,3,3,111
1222GP030,22,12,24,4,45,AM,1,31,5,1,1.0,4,1774,15,0,M,2,1,4,3,111
1222GP034,22,12,28,2,0,AM,12,31,30,4,2.0,5,1640,17,0,M,2,1,2,3,111
PR1222106,22,12,15,5,26,AM,13,31,24,1,6.0,45,18880,133,0,E,1,4,3,3,165
RCP276222D,22,12,20,7,0,AM,1,31,-4,1,1.0,10,2040,0,34,T,1,1,9,10,45
